ID;Date ;Maximum_Temperature;Minimum_Temperature;Temperature;Wind_Chill;Heat_Index;Precipitation;Snow _Depth;Wind_Speed;Wind_Gust;Visibility;Cloud_Cover;Relative_Humidity;Conditions
97;11/20/2020;5,1;-2;3,1;-5,9;;2;;28,8;46,8;9;65,2;87,93;Rain, Partially cloudy
1910;11/21/2020;1;-2;0,2;-5,4;;0;;18;25,2;10,4;87,5;88,65;Overcast
293;11/22/2020;3;-1;0,4;-7,6;;3,8;1;28,8;43,2;7,9;96,7;93,77;Snow, Overcast
670;11/23/2020;5,1;3;4,2;-0,6;;0,9;;23,4;36;10,3;91,8;91,74;Rain, Overcast
853;11/24/2020;5,3;3;4,3;-1,2;;2,4;;25,2;43,2;9,9;87,8;85,95;Rain, Overcast
1219;11/25/2020;7,3;4;5,4;0,1;;3,3;;19,8;28,8;7,8;95,6;96,89;Rain, Overcast
1226;11/26/2020;6,3;-1;2,8;-5,9;;0;;19,8;28,8;6,9;80,9;92,75;Overcast
1094;11/27/2020;4;-1;1,4;-6,5;;1,3;;19,8;32,4;6,4;95,9;96,25;Rain, Overcast
1088;11/28/2020;0,3;-3;-0,9;-6;;1,4;1;12,6;;9;86,5;93,98;Snow, Overcast
800;11/29/2020;0,3;-0,5;0;-5,5;;4,2;;18;25,2;6;92,3;96,82;Rain, Overcast
758;11/30/2020;0;-1;-0,7;-6,5;;2,5;1;19,8;21,6;9,2;93,9;96,14;Snow, Overcast
281;12/13/2019;2;0;0,7;-6,3;;0,8;;28,8;39,6;8,2;99,5;93,3;Rain, Overcast
22;12/13/2020;-1;-4;-3,3;-11,1;;0;;25,2;;6;96,3;94,77;Overcast
651;12/14/2019;1;-1;0,1;-7,6;;1,6;1;32,4;39,6;4,6;100;96,73;Snow, Overcast
1652;12/15/2019;3,3;0;1,8;-5,5;;0,1;;21,6;32,4;8,6;89,7;94,93;Rain, Overcast
1750;12/16/2019;5,1;-0,3;2,2;-3,5;;0,3;;25,2;36;10,9;52,5;91,54;Rain, Partially cloudy
1778;12/17/2019;4,3;0,9;2,6;-1,5;;0;;18;21,6;5,8;62,5;97,93;Partially cloudy
423;12/18/2019;7;2;4,2;-1,2;;0;;32,4;43,2;4,4;65,5;95,12;Partially cloudy
67;12/19/2019;5,5;-1,9;3,3;-4,6;;0;;25,2;39,5;10,3;63,3;82,15;Partially cloudy
1007;12/20/2019;3,3;-4;0;-7,2;;0;;18;25,2;6,3;73,6;96,9;Partially cloudy
802;12/21/2019;6;2;3,8;-2,9;;0,6;;21,6;28,8;3,9;98,6;97,99;Rain, Overcast
1812;12/22/2019;6;4;5,1;0,1;;5;;18;;3,4;83,5;99,44;Rain, Overcast
1243;12/23/2019;6,5;5;5,9;1,9;;7;;14,4;;2,5;73,1;99,73;Rain, Partially cloudy
245;12/24/2019;8;5,7;6,7;3,7;;4;;18;18;1,9;76,9;99,76;Rain, Overcast
1406;12/25/2019;6,3;4;5,5;2,2;;9;;14,4;;4;87,8;99,78;Rain, Overcast
999;12/26/2019;4,5;0;2,9;-5,5;;7;;21,6;;7,1;96;98,32;Rain, Overcast
114;12/27/2019;0,1;-0,3;0;-6,3;;15;3;28,8;36;2,6;93,7;95,53;Snow, Overcast
712;12/28/2019;0;-3;-1,1;-10,2;;4;13;32,4;43,2;6,9;94;92,08;Snow, Overcast
1037;12/29/2019;-2,9;-5;-4;-11,2;;0,2;10;18;28,8;10,9;96,7;93,97;Snow, Overcast
1580;12/30/2019;1,5;-5;-2;-11,2;;0,2;8;32,4;43,2;10,1;54,9;82,98;Snow, Partially cloudy
360;12/31/2019;3;0;1,8;-4,3;;0,9;6;25,2;36;9,9;80,7;83,35;Snow, Overcast

